Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part Number
BOOT_BUTTON,48.93,97.43,180,BUTTON_CUSYOMV1,MYBUTTON,
C1,154.05,-4.66,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10,60.45,96.84,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10_SUPERCAP,95.36,37.15,270,CPH3225A,CAPCP3225X100N,
C1_BAT,115.54,40.36,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT1,114.85,22.68,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT2,132.19,28.08,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2,152.93,-4.66,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2_BAT,128.35,43.26,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C3,127.85,28.04,90,100uF TANT,RCL_CT3528,
C4,94.05,21.5,90,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C4_USB,159.5,32.38,0,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5,20.63,96.92,90,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5_USB,146.91,34.08,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C6,45.31,96.64,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C7,95.4,11.04,90,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C8,92.85,37.24,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C9,15.87,90.54,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,64,97.43,180,BUTTON_CUSYOMV1,MYBUTTON,
CHG_LED,121.38,39.25,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,50.21,89.6,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
D1,152.28,38.38,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,119.82,-2.22,90,PGB1010603MR,DIOC1608X36N,
D11,116.7,-2.32,90,PGB1010603MR,DIOC1608X36N,
D12,113.48,-2.32,90,PGB1010603MR,DIOC1608X36N,
D2,116.89,28.89,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D3,81.96,23.88,180,MBR0530,SOD3716X135N,
D4,90.42,20.69,0,MBR0530,SOD3716X135N,
D5,90.46,17.19,0,MBR0530,SOD3716X135N,
D6,126.08,-2.12,90,PGB1010603MR,DIOC1608X36N,
D7,88.64,49.59,0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D8,129.36,-2.12,90,PGB1010603MR,DIOC1608X36N,
D9,122.94,-2.12,90,PGB1010603MR,DIOC1608X36N,
EPD_C1,101.28,6.86,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C10,82.45,11.9,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C11,80.71,11.88,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C12,78.95,11.9,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C2,66.29,5.66,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C5,91.15,11.9,90,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C6,89.4,11.86,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C7,87.71,11.86,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C8,86.02,11.86,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C9,84.23,11.86,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
IC1,44.95,88.78,0,BD5229G-TR,SOT95P280X125-5N,
IC4,122.58,29.1,0,XC6220A331MR-G,SOT95P280X120-5N,
J1,84.95,2.65,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99,
J2,166.65,43.06,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,
J3,167.19,8.1,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA,
J4,8.45,77.7,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,
L1,81.93,19.15,270,68uH,IND_4828-WE-TPC_WRE,
PFMF.050.1,150.88,29.94,90,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,
Q1,135.16,34.26,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q2,76.28,15.56,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q3,59.09,3.09,90,SI1308EDL-T1-GE3,SOT65P210X110-3N,
R1,6.99,27.92,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R10,129.34,-6.96,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_BAT,121.36,37.86,0,200,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH,155.23,-4.62,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH1,92.85,47.2,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PWRUSB,114.12,29.15,90,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2,60.65,-5.08,90,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-PINH,156.39,-4.62,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-PINH1,87.77,33.9,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB,155.59,44.44,90,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB1,145.47,42.38,90,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_BAT,127.48,32.74,90,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R3,62.62,-0.16,0,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R4,65.31,-5.28,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R5,123.33,-6.98,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R6,120.15,-6.98,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R7,117.17,-7.08,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R8,114.09,-7.08,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R9,126.21,-6.98,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
RESET_BUTTON,23.99,97.45,180,BUTTON_CUSYOMV1,MYBUTTON,
R_BOOT,52.48,96.68,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CAPACITOR,88.72,47.65,0,15,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CHANGE,67.59,96.85,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CL1,73.37,21.34,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_RESET,27.53,97.2,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
SENSOR2,154.55,1.1,90,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N,
SJ1,56.51,-5.1,0,,SJ,
TP1,18.26,58.8,0,TPTP20R,TP20R,
TP10,23.7,31.02,0,TPTP20R,TP20R,
TP11,20.44,28.2,0,TPTP20R,TP20R,
TP12,87.65,95.92,0,TPTP20R,TP20R,
TP13,87.6,91.02,0,TPTP20R,TP20R,
TP14,107.05,47.77,0,TPTP20R,TP20R,
TP15,19.2,-7.08,0,TPTP20R,TP20R,
TP16,166.35,22.22,0,TPTP20R,TP20R,
TP17,68.89,-3.6,0,TPTP20R,TP20R,
TP2,12.38,60.3,0,TPTP20R,TP20R,
TP3,104,51.6,0,TPTP20R,TP20R,
TP4,9.52,97,0,TPTP20R,TP20R,
TP5,3.44,96.9,0,TPTP20R,TP20R,
TP6,6.56,89.7,0,TPTP20R,TP20R,
TP7,12.58,-5.5,0,TPTP20R,TP20R,
TP8,8.9,-6.6,0,TPTP20R,TP20R,
TP9,19.12,62.9,0,TPTP20R,TP20R,
U1,34.03,44.26,0,W25Q512JVEIQ,SON127P600X800X80-9N,
U2,15.9,43.54,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,
U3,85.29,40.8,270,DS3231SN#,SOIC127P1032X265-16N,
U4,100.47,45.4,0,MAX17048G+T10,SON50P200X200X80-9N,
U5,128.08,39.2,90,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,
